,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02
flevopark_1,0,0,0,0,0,0,0,0,0
flevopark_2,1,1,1,1,1,1,1,1,1
flevopark_3,1,0,0,0,0,0,0,0,NA
flevopark_4,1,0,0,0,1,0,0,0,0
flevopark_5,0,0,0,0,0,0,0,0,1
flevopark_6,0,0,0,0,0,0,0,0,0
flevopark_7,0,0,0,0,0,0,0,0,0
flevopark_8,0,0,0,0,0,0,0,0,0
flevopark_9,0,0,0,0,0,0,0,0,0
flevopark_10,0,0,0,0,0,0,0,0,0
flevopark_11,1,1,0,0,0,0,1,1,1
flevopark_12,0,0,0,NA,NA,NA,NA,NA,0
flevopark_13,0,0,0,NA,NA,NA,NA,NA,NA
