,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02
flevopark_1,1,1,1,1,1,1,NA,1,NA
flevopark_2,1,1,1,1,1,1,1,1,NA
flevopark_3,1,1,1,1,1,1,1,NA,NA
flevopark_4,1,1,1,1,1,1,1,1,1
flevopark_5,1,1,1,1,1,1,NA,1,NA
flevopark_6,1,1,1,1,1,1,1,1,NA
flevopark_7,1,1,1,1,1,1,1,NA,NA
flevopark_8,NA,NA,NA,NA,NA,NA,NA,NA,NA
flevopark_9,1,1,1,1,1,1,1,1,NA
flevopark_10,1,1,1,1,1,1,1,NA,NA
flevopark_11,1,1,1,1,1,1,1,1,NA
flevopark_12,1,1,1,1,1,1,1,1,NA
flevopark_13,1,1,1,1,1,NA,NA,1,1
