locationName,filename,total_observations_file,timestamps
flevopark_1,flevopark_1_audio1_2021-11-29_16-00-00_(26) 2023-01-23  2_43 PM.csv,12,1638203269.4516602
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633014650.6767578
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633014962.7714844
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633015272.8198242
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633015597.7822266
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633015911.4257812
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633016264.932129
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633016567.0864258
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633016868.2719727
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633017170.1894531
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633014347.1948242
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633017475.112793
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633018104.1137695
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633018411.3637695
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633018723.3173828
flevopark_1,flevopark_1_audio1_2021-10-03_16-00-00_(21) 2023-01-23  1_32 PM.csv,1,1633269930.5889282
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633096878.8793182
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633097781.348999
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633098611.1602783
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633099211.8649902
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633101071.0771484
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633017800.7788086
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633014046.8791504
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633013744.0405273
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633013441.2802734
flevopark_1,flevopark_1_audio1_2021-11-25_16-00-00_(6) 2023-01-23  1_51 PM.csv,16,1637860529.3344727
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637985738.8656158
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637987549.267456
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637988656.2451172
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637989653.786377
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637990908.911621
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637992849.322754
flevopark_1,flevopark_1_audio1_2021-11-27_05-00-00_(14) 2023-01-23  2_13 PM.csv,7,1637993274.0957031
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633065842.5387115
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633066957.524292
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633067295.7033691
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633067603.4312744
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633068183.941162
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633070789.9091797
flevopark_1,flevopark_1_audio1_2021-10-01_07-23-10_(14) 2023-01-23  1_20 PM.csv,7,1633071223.604004
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633011149.3479004
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633011761.4974365
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633012072.5427246
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633012502.987793
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633012818.116211
flevopark_1,flevopark_1_audio1_2021-09-30_16-00-00_(10) 2023-01-23  1_10 PM.csv,24,1633013136.3935547
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633101574.3515625
flevopark_1,flevopark_1_audio1_2021-11-25_16-00-00_(6) 2023-01-23  1_51 PM.csv,16,1637860149.7045898
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633102616.8261719
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633103482.8344727
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632892467.9243164
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637939210.8175964
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637940998.2958984
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637941772.401123
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637942168.4230957
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637942658.1872559
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637943144.1210938
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637943493.7104492
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637944326.1972656
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632889657.2963867
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637944653.4072266
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637945669.5805664
flevopark_1,flevopark_1_audio1_2021-11-28_16-00-00_(21) 2023-01-23  2_30 PM.csv,1,1638112174.697876
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632924722.0484009
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632926189.2702637
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632927457.2817383
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632928027.925293
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632928658.0957031
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632929882.586914
flevopark_1,flevopark_1_audio1_2021-09-29_16-00-00_(5) 2023-01-23 12_57 PM.csv,10,1632930700.100586
flevopark_1,flevopark_1_audio1_2021-11-26_16-00-00_(11) 2023-01-23  2_04 PM.csv,11,1637945218.1225586
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632888179.0151367
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632887254.2524414
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632886457.9904785
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633103866.7685547
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633104813.7124023
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633105155.5146484
flevopark_1,flevopark_1_audio1_2021-11-28_05-00-00_(19) 2023-01-23  2_25 PM.csv,1,1638073663.0753174
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633057470.6607666
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633059350.3737793
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633059651.1469727
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633061134.1850586
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633061543.9433594
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633063058.3129883
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633064680.925293
flevopark_1,flevopark_1_audio1_2021-10-01_05-00-00_(13) 2023-01-23  1_18 PM.csv,8,1633065328.0356445
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633143933.6594849
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633144237.9811401
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633145244.8656006
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633145734.1765137
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633146761.0319824
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633148266.3095703
flevopark_1,flevopark_1_audio1_2021-10-02_05-00-00_(18) 2023-01-23  1_31 PM.csv,7,1633149020.1381836
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632884646.1164703
flevopark_1,flevopark_1_audio1_2021-09-29_05-00-00_(3) 2023-01-23 12_52 PM.csv,7,1632885618.2109375
flevopark_1,flevopark_1_audio1_2021-10-01_16-00-00_(15) 2023-01-23  1_23 PM.csv,12,1633103046.0039062
flevopark_1,flevopark_1_audio1_2021-11-25_16-00-00_(6) 2023-01-23  1_51 PM.csv,16,1637859761.7050781
flevopark_1,flevopark_1_audio1_2021-11-25_16-00-00_(6) 2023-01-23  1_51 PM.csv,16,1637859374.28125
flevopark_1,flevopark_1_audio1_2021-11-25_16-00-00_(6) 2023-01-23  1_51 PM.csv,16,1637858730.0385742
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633019917.7227783
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633020219.0239258
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633020529.2626953
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633020830.9398193
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633021140.7226562
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633021444.3886719
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633021752.49292
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633022059.2805176
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633022383.0891113
flevopark_1,flevopark_1_audio1_2021-09-30_18-23-10_(11) 2023-01-23  1_13 PM.csv,28,1633019611.9864502
