locationName,start,end,runtime (sec)
flevopark_1,2021-11-28 05:00:00,2021-11-28 05:27:47,1667.0
flevopark_1,2021-09-29 20:46:20,2021-09-29 21:50:36,3856.0
flevopark_1,2021-11-26 07:23:10,2021-11-26 08:58:07,5697.0
flevopark_1,2021-11-24 16:00:00,2021-11-24 18:22:44,8564.0
flevopark_1,2021-09-28 20:46:20,2021-09-28 21:59:57,4417.0
flevopark_1,2021-11-25 20:46:20,2021-11-25 21:51:12,3892.0
flevopark_1,2021-09-28 16:00:00,2021-09-28 18:23:06,8586.0
flevopark_1,2021-09-30 05:00:00,2021-09-30 06:56:53,7013.0
flevopark_1,2021-10-02 16:00:00,2021-10-02 16:13:51,831.0
flevopark_1,2021-11-26 18:23:10,2021-11-26 20:26:12,7382.0
flevopark_1,2021-11-28 18:23:10,2021-11-28 18:34:03,653.0
flevopark_1,2021-09-29 16:00:00,2021-09-29 18:16:59,8219.0
flevopark_1,2021-12-01 05:00:00,2021-12-01 05:08:24,504.0
flevopark_1,2021-11-27 18:23:10,2021-11-27 19:25:32,3742.0
flevopark_1,2021-11-25 16:00:00,2021-11-25 18:19:38,8378.0
flevopark_1,2021-11-29 05:00:00,2021-11-29 06:40:39,6039.0
flevopark_1,2021-10-09 05:00:00,2021-10-09 05:00:46,46.0
flevopark_1,2021-09-30 18:23:10,2021-09-30 20:46:18,8588.0
flevopark_1,2021-09-28 18:23:10,2021-09-28 20:46:13,8583.0
flevopark_1,2021-10-04 05:00:00,2021-10-04 05:05:07,307.0
flevopark_1,2021-09-30 16:00:00,2021-09-30 18:21:49,8509.0
flevopark_1,2021-10-01 05:00:00,2021-10-01 07:15:28,8128.0
flevopark_1,2021-10-02 05:00:00,2021-10-02 06:30:51,5451.0
flevopark_1,2021-11-25 18:23:10,2021-11-25 20:37:54,8084.0
flevopark_1,2021-11-25 05:00:00,2021-11-25 07:11:13,7873.0
flevopark_1,2021-11-27 05:00:00,2021-11-27 07:12:00,7920.0
flevopark_1,2021-09-29 18:23:10,2021-09-29 20:46:10,8580.0
flevopark_1,2021-11-24 18:23:10,2021-11-24 20:41:37,8307.0
flevopark_1,2021-10-06 16:00:00,2021-10-06 16:01:25,85.0
flevopark_1,2021-11-26 05:00:00,2021-11-26 06:36:28,5788.0
flevopark_1,2021-11-28 16:00:00,2021-11-28 16:09:35,575.0
flevopark_1,2021-10-07 05:00:00,2021-10-07 05:00:36,36.0
flevopark_1,2021-09-29 07:23:10,2021-09-29 08:55:28,5538.0
flevopark_1,2021-11-27 16:00:00,2021-11-27 18:05:23,7523.0
flevopark_1,2021-10-07 16:00:00,2021-10-07 16:00:08,8.0
flevopark_1,2021-11-25 07:23:10,2021-11-25 08:32:01,4131.0
flevopark_1,2021-11-26 16:00:00,2021-11-26 17:54:30,6870.0
flevopark_1,2021-10-04 16:00:00,2021-10-04 16:07:22,442.0
flevopark_1,2021-09-30 20:46:20,2021-09-30 21:59:50,4410.0
flevopark_1,2021-10-01 16:00:00,2021-10-01 18:22:29,8549.0
flevopark_1,2021-11-29 16:00:00,2021-11-29 18:05:38,7538.0
flevopark_1,2021-11-29 07:23:10,2021-11-29 08:49:37,5187.0
flevopark_1,2021-10-03 16:00:00,2021-10-03 16:06:11,371.0
flevopark_1,2021-10-01 07:23:10,2021-10-01 08:57:10,5640.0
flevopark_1,2021-10-05 05:00:00,2021-10-05 05:02:24,144.0
flevopark_1,2021-11-28 07:23:10,2021-11-28 08:57:00,5630.0
flevopark_1,2021-11-24 20:46:20,2021-11-24 21:59:29,4389.0
flevopark_1,2021-09-30 07:23:10,2021-09-30 08:58:44,5734.0
flevopark_1,2021-09-29 05:00:00,2021-09-29 07:16:05,8165.0
flevopark_1,2021-11-27 07:23:10,2021-11-27 08:54:06,5456.0
flevopark_1,2021-10-01 18:23:10,2021-10-01 20:46:04,8574.0
flevopark_1,2021-10-01 20:46:20,2021-10-01 21:59:57,4417.0
flevopark_10,2021-11-26 20:46:20,2021-11-26 21:38:32,3132.0
flevopark_10,2021-11-25 05:00:00,2021-11-25 07:07:45,7665.0
flevopark_10,2021-11-25 18:23:10,2021-11-25 20:22:45,7175.0
flevopark_10,2021-11-28 18:23:10,2021-11-28 18:25:58,168.0
flevopark_10,2021-11-27 05:00:00,2021-11-27 07:14:14,8054.0
flevopark_10,2021-11-25 16:00:00,2021-11-25 18:22:16,8536.0
flevopark_10,2021-11-30 05:00:00,2021-11-30 05:24:53,1493.0
flevopark_10,2021-11-26 07:23:10,2021-11-26 08:56:41,5611.0
flevopark_10,2021-11-29 16:00:00,2021-11-29 17:55:39,6939.0
flevopark_10,2021-11-26 05:00:00,2021-11-26 07:22:30,8550.0
flevopark_10,2021-11-27 07:23:10,2021-11-27 08:52:06,5336.0
flevopark_10,2021-11-24 18:23:10,2021-11-24 20:42:06,8336.0
flevopark_10,2021-11-27 18:23:10,2021-11-27 20:06:35,6205.0
flevopark_10,2021-11-24 16:00:00,2021-11-24 18:21:12,8472.0
flevopark_10,2021-11-24 20:46:20,2021-11-24 21:51:43,3923.0
flevopark_10,2021-11-29 07:23:10,2021-11-29 07:28:38,328.0
flevopark_10,2021-11-28 05:00:00,2021-11-28 07:01:15,7275.0
flevopark_10,2021-11-25 20:46:20,2021-11-25 21:43:40,3440.0
flevopark_10,2021-11-26 16:00:00,2021-11-26 17:30:00,5400.0
flevopark_10,2021-11-28 16:00:00,2021-11-28 17:41:19,6079.0
flevopark_10,2021-11-27 16:00:00,2021-11-27 18:08:12,7692.0
flevopark_10,2021-11-27 20:46:20,2021-11-27 21:56:36,4216.0
flevopark_10,2021-11-25 07:23:10,2021-11-25 07:45:41,1351.0
flevopark_11,2021-11-28 16:00:00,2021-11-28 18:18:45,8325.0
flevopark_11,2021-11-26 05:00:00,2021-11-26 07:19:14,8354.0
flevopark_11,2021-12-01 05:00:00,2021-12-01 05:03:11,191.0
flevopark_11,2021-11-29 07:23:10,2021-11-29 08:56:09,5579.0
flevopark_11,2021-11-26 16:00:00,2021-11-26 18:21:16,8476.0
flevopark_11,2021-11-27 05:00:00,2021-11-27 07:20:44,8444.0
flevopark_11,2021-11-27 07:23:10,2021-11-27 08:44:33,4883.0
flevopark_11,2021-11-26 18:23:10,2021-11-26 20:42:08,8338.0
flevopark_11,2021-11-26 20:46:20,2021-11-26 21:53:12,4012.0
flevopark_11,2021-11-29 16:00:00,2021-11-29 18:18:26,8306.0
flevopark_11,2021-11-24 18:23:10,2021-11-24 20:42:16,8346.0
flevopark_11,2021-11-27 18:23:10,2021-11-27 20:44:10,8460.0
flevopark_11,2021-11-29 18:23:10,2021-11-29 19:58:25,5715.0
flevopark_11,2021-11-30 16:00:00,2021-11-30 16:16:24,984.0
flevopark_11,2021-11-24 20:46:20,2021-11-24 21:54:59,4119.0
flevopark_11,2021-11-28 20:46:20,2021-11-28 21:56:21,4201.0
flevopark_11,2021-11-25 16:00:00,2021-11-25 18:22:03,8523.0
flevopark_11,2021-11-29 05:00:00,2021-11-29 07:06:56,7616.0
flevopark_11,2021-11-27 16:00:00,2021-11-27 18:17:56,8276.0
flevopark_11,2021-11-24 16:00:00,2021-11-24 18:22:10,8530.0
flevopark_11,2021-11-25 05:00:00,2021-11-25 07:21:40,8500.0
